,genre,imdb_id,imdb_rating,imdb_votes,rated,released,runtime,title,year,ebay,etsy,bonanza
0,Drama,tt1719758,3.9,123,,11 May 2015,,America's Court with Judge Ross,2010–,0,0,0
1,"Documentary, Reality-TV",tt1596786,7.0,"6,254",TV-PG,18 Jan 2010,60 min,American Pickers,2010–,5,2,0
2,Documentary,tt3021452,7.3,18,,01 Dec 2010,,Ancient Aliens: The Mission,2010–,0,405,0
3,"Crime, Drama, Mystery, Thriller",tt1595859,7.5,"29,313",TV-14,24 Sep 2010,43 min,Blue Bloods,2010–,98,19,10
4,"Comedy, Music, Talk-Show",tt1637574,8.1,"20,564",TV-14,08 Nov 2010,42 min,Conan,2010–,252,30,0
5,"Documentary, Crime",tt1688779,7.8,"1,145",TV-14,11 Jul 2010,44 min,"Drugs, Inc.",2010–,0,107,0
6,Reality-TV,tt1800864,7.3,"3,822",TV-14,03 Dec 2010,45 min,Gold Rush: Alaska,2010–,1,10,0
7,"Game-Show, Reality-TV",tt1711420,6.6,477,,15 Aug 2010,60 min,The Great Food Truck Race,2010–,0,18,0
8,"Action, Crime, Drama",tt1600194,7.3,"62,054",TV-14,20 Sep 2010,42 min,Hawaii Five-0,2010–,316,16,0
9,Documentary,tt1832668,9.0,"4,713",TV-PG,25 Apr 2010,60 min,How the Universe Works,2010–,0,1908,0
10,"News, Talk-Show",tt1752508,6.1,363,,27 Sep 2010,60 min,The Last Word with Lawrence O'Donnell,2010–,0,0,0
11,"Game-Show, Reality-TV",tt1694423,7.3,"6,692",TV-14,27 Jul 2010,42 min,Masterchef,2010–,35,2,1
12,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Musical, Sci-Fi",tt1751105,7.6,"18,049",TV-Y,10 Oct 2010,22 min,My Little Pony: Friendship Is Magic,2010–2019,673,6,0
13,"Documentary, Adventure, Biography, Crime, History, Mystery",tt2076566,8.1,897,TV-PG,02 Nov 2010,60 min,Mysteries at the Museum,2010–,0,1,0
14,Reality-TV,tt1720601,4.8,"4,205",TV-14,14 Oct 2010,44 min,The Real Housewives of Beverly Hills,2010–,0,4,0
15,Reality-TV,tt1730755,5.8,393,,30 Jul 2010,,Say Yes to the Dress: Atlanta,2010–,0,6,0
16,Reality-TV,tt1721666,4.4,"2,003",,26 Sep 2010,42 min,Sister Wives,2010–,0,56,0
17,Reality-TV,tt1785123,6.4,"8,232",TV-14,01 Dec 2010,22 min,Storage Wars,2010–,14,1,1
18,"Action, Reality-TV",tt1747551,6.3,"1,987",TV-PG,22 Aug 2010,43 min,Swamp People,2010–,29,1,8
19,Talk-Show,tt1740718,3.7,"1,564",TV-14,18 Oct 2010,60 min,The Talk,2010–,772,184,6
20,Reality-TV,tt1734192,6.2,257,,14 Oct 2010,30 min,The Vanilla Ice Project,2010–,0,2,0
21,"Drama, Horror, Thriller",tt1520211,8.3,"796,251",TV-MA,31 Oct 2010,44 min,The Walking Dead,2010–,3261,602,105
22,"Documentary, Biography, History",tt1365047,8.0,"1,214",,05 Mar 2010,60 min,Who Do You Think You Are?,2010–,0,0,0
23,"Comedy, Game-Show, Reality-TV",tt1570957,6.4,943,,03 Jan 2010,60 min,Worst Cooks in America,2010–,0,63247,0
24,Reality-TV,tt1877010,7.8,"1,292",TV-14,01 Jul 2011,42 min,Alaska: The Last Frontier,2011–,1,16,0
25,"Animation, Adventure, Comedy, Family, Fantasy, Romance",tt1942683,8.1,"16,645",TV-Y7-FV,03 May 2011,11 min,The Amazing World of Gumball,2011–2019,2,2,0
26,"Drama, Horror, Thriller",tt1844624,8.1,"252,345",TV-MA,05 Oct 2011,60 min,American Horror Story,2011–,654,39,2
27,Reality-TV,tt1863526,7.6,"2,346",TV-PG,17 Jul 2011,41 min,Bar Rescue,2011–,1,54708,1
28,"Animation, Comedy",tt1561755,8.1,"57,561",TV-PG,09 Jan 2011,22 min,Bob's Burgers,2011–,241,72,5
29,"Biography, Comedy, Drama, Reality-TV",tt1861510,5.9,548,,12 Apr 2011,60 min,Braxton Family Values,2011–,0,54708,0
30,"Horror, Reality-TV, Sci-Fi, Thriller",tt2012511,6.8,"1,783",,23 Sep 2011,60 min,The Dead Files,2011–,0,17,0
31,News,tt1973047,4.2,332,TV-PG,15 Jul 2011,30 min,Dish Nation,2011–,1,54708,0
32,News,tt2077192,5.9,38,,03 Oct 2011,60 min,Erin Burnett OutFront,2011–,0,54708,0
33,Talk-Show,tt1962630,7.7,74,,20 Jun 2011,,Feherty,2011–,0,54708,1
34,Talk-Show,tt1981471,6.4,684,,11 Jul 2011,60 min,The Five,2011–,69,82,10
35,"Documentary, Biography, Sport",tt2396758,8.6,469,,15 Sep 2011,,A Football Life,2011–,0,3,0
36,"Comedy, News, Sport, Talk-Show",tt5161702,6.2,166,,12 Sep 2011,,Highly Questionable,2011–,0,54710,0
37,"Crime, Drama, Mystery, Thriller",tt1796960,8.3,"282,965",TV-MA,02 Oct 2011,55 min,Homeland,2011–,119,23,8
38,"Documentary, Crime",tt1934673,8.8,"2,273",,,43 min,Homicide Hunter: Lt. Joe Kenda,2011–,0,0,0
39,"Comedy, Reality-TV",tt2100976,8.6,"28,683",TV-14,15 Dec 2011,30 min,Impractical Jokers,2011–,586,49,1
40,Sport,tt2064310,8.2,49,,01 Apr 2011,60 min,Intentional Talk,2011–,0,54708,0
41,Comedy,tt1828327,7.6,"26,369",TV-PG,11 Oct 2011,30 min,Last Man Standing,2011–,5,4,5
42,Reality-TV,tt2050066,8.1,13,,26 Sep 2011,,Last Shot with Judge Gunn,2011–,1,0,0
43,"Crime, Reality-TV",tt1877005,5.9,"1,173",,06 Dec 2011,60 min,Moonshiners,2011–,2,10,0
44,Reality-TV,tt1933073,7.7,"1,229",,07 May 2011,60 min,My Cat from Hell,2011–2018,1,8,0
45,Sport,tt8132056,,,,15 Mar 2011,120 min,NCAA March Madness,2011–,0,54708,0
46,"Animation, Comedy, Horror, Music",tt2289131,8.3,603,TV-PG,01 Jan 2011,11 min,Off the Air,2011–,0,54708,0
47,Reality-TV,tt2151337,6.1,377,TV-G,27 Aug 2011,30 min,The Pioneer Woman,2011–,0,1,0
48,"Comedy, Reality-TV",tt1820166,6.3,"5,373",TV-14,29 Aug 2011,30 min,Ridiculousness,2011–,0,4,0
49,"Documentary, Sport",tt6364492,6.9,10,,16 Sep 2011,,SEC Storied,2011–,0,54708,0
50,"Comedy, Drama",tt1586680,8.6,"173,442",TV-MA,09 Jan 2011,46 min,Shameless,2011–,733,171,3
51,"Comedy, Drama",tt1632701,8.5,"333,327",TV-14,23 Jun 2011,44 min,Suits,2011–,848,343,6
52,Talk-Show,tt2402865,7.2,78,,16 Oct 2011,,Super Soul Sunday,2011–,0,54710,0
53,Talk-Show,tt2089467,7.3,"3,162",TV-14,16 Oct 2011,44 min,Talking Dead,2011–,15,3,0
54,Reality-TV,tt1849622,6.7,"1,380",,07 Aug 2011,43 min,Tanked,2011–,11435,1018,1235
55,"Documentary, Reality-TV",tt1821220,4.4,"1,951",,11 Jan 2011,60 min,Teen Mom 2,2011–,0,3,0
56,"Game-Show, Music, Reality-TV",tt1839337,6.6,"10,865",TV-PG,26 Apr 2011,60 min,The Voice,2011–,42,20,3
57,"Animation, Adventure, Comedy, Family",tt1807859,7.7,804,TV-Y,03 Jan 2011,26 min,Wild Kratts,2011–,22,54710,0
58,"Action, Adventure, Crime, Drama, Mystery, Sci-Fi",tt2193021,7.6,"383,655",TV-14,10 Oct 2012,42 min,Arrow,2012–,3212,155,63
59,Reality-TV,tt2498968,7.1,"6,545",,12 Nov 2012,60 min,Catfish: The TV Show,2012–,8,2,0
60,News,tt2344864,5.1,24,,14 Jan 2012,120 min,CBS This Morning: Saturday,2012–,0,2,0
61,"Action, Drama",tt2261391,7.9,"30,003",TV-14,,43 min,Chicago Fire,2012–,449,3,14
62,"Comedy, Talk-Show",tt2314952,8.1,"9,239",TV-14,19 Jul 2012,20 min,Comedians in Cars Getting Coffee,2012–,0,2907,0
63,Reality-TV,tt2338096,7.1,"2,097",TV-PG,13 Aug 2012,30 min,Counting Cars,2012–,7,54712,0
64,"Animation, Comedy, Family, Fantasy, Music, Musical",tt2014553,7.4,721,TV-Y,03 Sep 2012,26 min,Daniel Tiger's Neighborhood,2012–,106,6,0
65,"Animation, Family, Fantasy, Music, Musical",tt1710295,6.8,"1,632",G,23 Mar 2012,11 min,Doc McStuffins,2012–,554,9,1
66,Documentary,tt2176353,4.6,217,,26 Apr 2012,60 min,Don't Be Tardy...,2012–,0,54711,0
67,News,tt2163397,,,,02 Jan 2012,120 min,Early Start,2012–,12,54712,0
68,"Comedy, Talk-Show",tt2244495,8.6,"9,248",TV-MA,20 May 2012,11 min,The Eric Andre Show,2012–,0,1,0
69,Comedy,tt2163354,6.3,121,,18 Jun 2012,,Family Time,2012–,12,12,4
70,Reality-TV,tt2346169,7.6,"2,210",,,60 min,Fast N' Loud,2012–,312,54711,8
71,"Horror, Mystery, Thriller",tt2290749,2.3,151,,,72 min,A Haunting on Gabriel Street,2012,0,4383,0
72,Comedy,tt2514438,8.1,"3,250",,09 Nov 2012,30 min,High Maintenance,2012–2015,0,4,0
73,Reality-TV,tt1865740,7.4,"2,541",TV-14,17 Jan 2012,60 min,Ink Master,2012–,0,54711,0
74,Talk-Show,tt2346273,6.9,122,,02 Jun 2012,60 min,"Iyanla, Fix My Life",2012–,0,9,0
75,Talk-Show,tt2361632,7.3,34,,17 Sep 2012,,Justice for All with Judge Cristina Perez,2012–,0,965,0
76,Reality-TV,tt2224452,5.5,646,TV-14,18 Jun 2012,41 min,Love & Hip Hop: Atlanta,2012–,0,1,0
77,Reality-TV,tt1879599,7.4,"1,224",TV-14,01 Mar 2012,43 min,Million Dollar Listing New York,2012–,0,0,0
78,Reality-TV,tt2152112,6.6,896,TV-14,,43 min,My 600-lb Life,2012–,0,54712,0
79,Reality-TV,tt2301351,8.6,"3,916",TV-14,01 Oct 2012,60 min,RuPaul's Drag Race All Stars,2012–,0,2,0
80,Reality-TV,tt4003914,,,,13 Dec 2012,,Small Town Big Deal,2012–,3,54711,0
81,Comedy,tt2445666,8.3,943,,08 Oct 2012,30 min,Studio C,2012–,0,2,0
82,Reality-TV,tt2210101,6.8,70,,14 Apr 2012,30 min,Trisha's Southern Kitchen,2012–,0,54712,0
83,Sport,tt2275313,7.7,80,,07 Feb 2012,30 min,UFC Ultimate Insider,2012–,1,54711,0
84,Reality-TV,tt2191567,6.6,615,,01 Apr 2012,60 min,Wicked Tuna,2012–,0,54711,0
85,"Action, Game-Show, Reality-TV, Sport",tt2659152,6.7,228,TV-PG,03 Oct 2012,,WWE Main Event,2012–,31,54711,0
86,"News, Talk-Show",tt2926042,6.6,286,Not Rated,01 Apr 2013,60 min,All In with Chris Hayes,2013–,0,1013,0
87,Documentary,tt3286608,7.4,161,,01 Nov 2013,,Barnwood Builders,2013–,0,54711,0
88,Reality-TV,tt3205302,6.3,559,TV-G,24 Aug 2013,30 min,Beat Bobby Flay,2013–,0,54711,0
89,Reality-TV,tt2342499,7.0,839,TV-14,,60 min,Below Deck,2013–,2,6,0
90,"Crime, Drama, Mystery, Thriller",tt2741602,8.0,"162,781",TV-14,23 Sep 2013,43 min,The Blacklist,2013–,265,13,15
91,"Comedy, Crime",tt2467372,8.4,"162,684",TV-14,17 Sep 2013,22 min,Brooklyn Nine-Nine,2013–,1070,200,2
92,News,tt3503424,5.3,25,,09 Sep 2013,30 min,Celebrity Page,2013–,19,3,0
93,"Comedy, History",tt2712612,7.8,"7,862",TV-14,09 Jul 2013,22 min,Drunk History,2013–,8,54711,1
94,"Documentary, Crime",tt2912216,8.0,202,,03 Jun 2013,120 min,Fatal Attraction,2013–,0,54712,0
95,Reality-TV,tt2902088,6.2,"1,386",TV-G,01 Apr 2013,21 min,Flip or Flop,2013–,0,9,0
96,Sport,tt3511422,,,,08 Sep 2013,,Fox NFL Kickoff,2013–,0,54712,0
97,Comedy,tt2712740,8.1,"27,157",TV-PG,,22 min,The Goldbergs,2013–,139,25,2
98,Reality-TV,tt3233452,6.6,157,TV-PG,09 Dec 2013,120 min,The Great Christmas Light Fight,2013–,0,8,0
99,"Game-Show, Reality-TV",tt3165150,6.3,677,TV-G,20 Oct 2013,60 min,Guy's Grocery Games,2013–,0,54711,0
100,Reality-TV,tt2746736,6.9,53,,01 Jan 2013,,Hawaii Life,2013–,0,1,0
101,"Comedy, Game-Show",tt3037520,7.3,"1,496",TV-14,11 Jul 2013,43 min,Hollywood Game Night,2013–,4,1,0
102,"Reality-TV, Talk-Show",tt3226310,5.5,75,,23 Sep 2013,21 min,Lauren Lake's Paternity Court,2013–,0,34,0
103,News,tt2784810,,,,18 Mar 2013,,The Lead with Jake Tapper,2013–,0,45,0
104,"Documentary, Adventure, Reality-TV",tt2964642,8.0,"1,248",TV-PG,19 May 2013,44 min,Life Below Zero,2013–,0,54712,0
105,Reality-TV,tt2932120,5.4,101,,01 Jan 2013,,Marriage Boot Camp: Bridezillas,2013–,0,0,0
106,Reality-TV,tt2543378,5.0,206,TV-14,,60 min,Married to Medicine,2013–,0,54711,0
107,"Game-Show, Reality-TV",tt3038248,6.7,"2,215",TV-PG,,60 min,MasterChef Junior,2013–,0,54711,0
108,"Animation, Short, Comedy, Family",tt2768802,8.0,"1,559",TV-G,12 Mar 2013,4 min,Mickey Mouse,2013–,1947,102,12
109,"Comedy, Drama, Romance",tt2660806,7.2,"24,594",TV-14,23 Sep 2013,30 min,Mom,2013–,428,875,16
110,"Adventure, Reality-TV",tt3007640,6.6,"2,891",TV-14,23 Jun 2013,43 min,Naked and Afraid,2013–,5,1,1
111,"Short, Fantasy, Mystery",tt3608436,,,,01 Nov 2013,20 min,New Day,2013,1842,177,9
112,"Animation, Action, Adventure, Comedy, Family, Sport",tt3121722,6.5,"1,549",TV-Y,01 Aug 2013,23 min,PAW Patrol,2013–,3893,71,5
113,Reality-TV,tt3080030,8.3,"1,209",,30 Jul 2013,43 min,The Profit,2013–,1,54711,0
114,"Crime, Drama",tt2249007,8.3,"69,330",TV-MA,18 Jun 2013,60 min,Ray Donovan,2013–,187,2,0
115,"Music, Talk-Show",tt3004376,5.4,914,TV-PG,15 Jul 2013,42 min,The Real,2013–,341,236,5
116,"Animation, Adventure, Comedy, Sci-Fi",tt2861424,9.3,"287,285",TV-MA,02 Dec 2013,23 min,Rick and Morty,2013–,1234,170,12
117,Reality-TV,tt3216832,5.9,45,,25 Sep 2013,,Secret Lives of the Super Rich,2013–,0,3,0
118,Documentary,tt2723810,7.5,166,,10 Mar 2013,60 min,Snapped: Killer Couples,2013–,0,59,0
119,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Musical, Mystery, Sci-Fi",tt3061046,8.3,"21,645",TV-PG,27 Jul 2013,11 min,Steven Universe,2013–,331,30,0
120,Reality-TV,tt3027156,6.6,874,,11 Jun 2013,60 min,Street Outlaws,2013–,180,1,0
121,"Animation, Comedy, Family, Sci-Fi",tt2771780,5.1,"15,302",TV-PG,23 Apr 2013,10 min,Teen Titans Go!,2013–,60,8,0
122,"Biography, Drama, Reality-TV, Sport",tt3056472,6.6,"1,575",TV-14,28 Jul 2013,44 min,Total Divas,2013–,6,54711,0
123,"Animation, Family",tt2948562,8.1,248,TV-Y,19 Apr 2013,23 min,Tumble Leaf,2013–,0,54712,0
124,Reality-TV,tt2343157,5.3,"1,891",TV-14,07 Jan 2013,43 min,Vanderpump Rules,2013–,1,31,0
125,"Documentary, News",tt2782710,8.9,"3,962",TV-MA,05 Apr 2013,30 min,Vice,2013–,1015,74,6
126,"Action, Adventure, Drama, History, Romance, War",tt2306299,8.6,"352,516",TV-MA,03 Mar 2013,44 min,Vikings,2013–,2940,233,4
127,"Comedy, Game-Show",tt2919910,8.4,"6,637",Not Rated,01 Jul 2013,22 min,Whose Line Is It Anyway?,2013–,32,1,0
128,Comedy,tt3060712,8.1,41,,25 Jun 2013,60 min,Wild 'n Out: Wildest Moments,2013,0,0,0
129,"Comedy, Fantasy",tt2362694,7.6,"1,425",TV-MA,18 Apr 2013,11 min,Your Pretty Face Is Going to Hell,2013–,0,0,0
130,"Short, Comedy, Mystery, Thriller",tt4007402,,,,,8 min,90 Day Fiance,2014,0,40,0
131,"Drama, Mystery, Sci-Fi",tt2661044,7.7,"183,404",TV-14,19 Mar 2014,43 min,The 100,2014–,770,443,194
132,Drama,tt2699110,7.9,"34,337",TV-MA,12 Oct 2014,60 min,The Affair,2014–,22,42,2
133,Reality-TV,tt3665674,6.3,"1,967",,06 May 2014,42 min,Alaskan Bush People,2014–,0,54711,0
134,Reality-TV,tt3484274,6.7,"1,337",TV-14,21 Jan 2014,41 min,Are You the One?,2014–,0,303,0
135,"Reality-TV, Romance",tt3780132,5.0,"1,153",TV-14,04 Aug 2014,42 min,Bachelor in Paradise,2014–,1,55,0
136,Comedy,tt3589872,6.9,"2,822",TV-MA,07 Aug 2014,21 min,Black Jesus,2014–,8,18,0
137,Comedy,tt3487356,7.1,"17,222",TV-PG,24 Sep 2014,22 min,Black-ish,2014–,8,5,0
138,"Animation, Action, Comedy, Family",tt4458594,5.8,456,TV-Y,13 Oct 2014,22 min,Blaze and the Monster Machines,2014–,343,3,0
139,"Animation, Comedy, Drama",tt3398228,8.6,"73,944",TV-MA,22 Aug 2014,25 min,BoJack Horseman,2014–,705,44,0
140,"Crime, Drama",tt3502248,8.4,"34,946",TV-MA,06 Feb 2014,51 min,Bosch,2014–,57,2,0
141,Reality-TV,tt3781836,6.8,832,,24 Jun 2014,42 min,Botched,2014–,1,54712,0
142,"Drama, Music, Reality-TV",tt3704280,6.6,403,TV-PG,05 Mar 2014,41 min,Bring It!,2014–,3,1,0
143,Comedy,tt3559912,7.5,"1,897",TV-14,,30 min,The Carbonaro Effect,2014–,0,54711,0
144,"Action, Crime, Drama, Thriller",tt2805096,8.1,"21,873",TV-14,08 Jan 2014,43 min,Chicago P.D.,2014–,44,3,0
145,Reality-TV,tt3688530,4.9,"1,699",TV-14,11 Mar 2014,22 min,Chrisley Knows Best,2014–,0,54711,0
146,News,tt3685566,3.8,5,,,,CNN Tonight,2014–,0,54711,0
147,"Documentary, Reality-TV",tt3455408,7.0,"3,263",TV-PG,05 Jan 2014,60 min,The Curse of Oak Island,2014–,1,12,0
148,"Crime, Drama, Thriller",tt2802850,9.0,"280,802",TV-MA,15 Apr 2014,53 min,Fargo,2014–,49,15,2
149,Drama,tt3951130,7.6,429,,14 Apr 2014,44 min,Fear Thy Neighbor,2014–2019,0,54712,0
150,"Action, Adventure, Drama, Sci-Fi",tt3107288,7.8,"280,881",TV-PG,07 Oct 2014,43 min,The Flash,2014–,2445,240,194
151,"Action, Comedy, Family, Sci-Fi",tt3596174,5.4,"2,462",TV-G,,30 min,Henry Danger,2014–,39,9,0
152,Reality-TV,tt3854942,4.8,270,,15 Sep 2014,,Hot Bench,2014–,1,2,0
153,"Crime, Drama, Mystery, Thriller",tt3205802,8.2,"106,075",TV-14,25 Sep 2014,43 min,How to Get Away with Murder,2014–,5,11,0
154,"Drama, Romance",tt3645318,5.8,"1,054",,09 Sep 2014,30 min,If Loving You Is Wrong,2014–,0,2,0
155,Family,tt3475084,6.3,253,TV-G,04 Jan 2014,60 min,The Kitchen,2014–,161,6105,46
156,"Comedy, News, Talk-Show",tt3530232,8.9,"69,596",TV-MA,27 Apr 2014,30 min,Last Week Tonight with John Oliver,2014–,7,1,0
157,"Comedy, Talk-Show",tt3513388,6.0,"4,963",TV-14,24 Feb 2014,60 min,Late Night with Seth Meyers,2014–,3,49,0
158,Reality-TV,tt3761278,5.5,638,,27 May 2014,43 min,Little Women: LA,2014–,0,1,0
159,Reality-TV,tt3706642,5.1,321,TV-14,,42 min,Love & Hip Hop: Hollywood,2014–,0,15,0
160,"Action, Drama, Sport",tt4171176,9.0,"1,412",TV-14,29 Oct 2014,60 min,Lucha Underground,2014–,1,1,0
161,Drama,tt3501074,7.6,"17,865",TV-PG,21 Sep 2014,45 min,Madam Secretary,2014–,44,14,0
162,Reality-TV,tt3868860,6.3,994,TV-14,08 Jul 2014,42 min,Married at First Sight,2014–,0,331,0
163,Reality-TV,tt3052478,4.3,136,,01 Aug 2014,,Masters of Illusion,2014–,0,54711,0
164,"Animation, Adventure, Comedy, Crime, Fantasy, Horror, Mystery, Sci-Fi",tt3038546,8.1,"3,129",TV-14,,12 min,Mike Tyson Mysteries,2014–,33,54711,0
165,"Crime, Drama, Mystery",tt3560084,6.8,"12,963",TV-14,23 Sep 2014,42 min,NCIS: New Orleans,2014–,23,1,0
166,"Short, Action, Adventure, Comedy, Crime, Family, Mystery, Sci-Fi",tt3900614,6.5,659,TV-Y,26 Nov 2014,27 min,Odd Squad,2014–,0,54711,0
167,"Drama, Fantasy, Romance",tt3006802,8.4,"96,181",TV-MA,09 Aug 2014,64 min,Outlander,2014–,242,115,7
168,Talk-Show,tt3695158,6.1,46,,28 Apr 2014,60 min,Outnumbered,2014–,1,6,0
